class,采集时段,总风速,纵桥向风速,横桥向风速,竖向风速,平均风向,平均风功角,Ix,Iy,Iz
0,2021-04-27 19:00:00.000,0.918964241604582,0.555902080547153,0.2131608397024874,0.0009291275979265743,204.412,0.116,0.6821331646371391,1.324334850760859,0.0080238283103038
1,2021-04-27 19:10:00.000,1.063642785003658,-0.8609476147988688,0.49352158892409836,0.0014457052694417467,46.659,0.087,0.34462081682831736,0.4113057142335028,0.0029918110872815657
2,2021-04-27 19:20:00.000,1.0007011004626702,-0.6264204787836356,0.7579208333471176,0.0016861813308942481,32.728,0.095,0.16904068129914535,0.19444666269378633,0.001525661077475381
3,2021-04-27 19:30:00.000,1.2564726994699502,-0.42495360739275545,1.1641583877351636,0.002210860384632124,171.123,0.101,0.15763371929275363,0.1626099486105255,0.0011863855849730107
4,2021-04-27 19:40:00.000,1.3664261187833602,0.21211577294127432,1.3112048927476607,0.0033666439279930625,330.609,0.147,0.17976121096760697,0.26176742116849244,0.0012053357069567146
5,2021-04-27 19:50:00.000,1.5049270804879573,0.6775278087777439,1.3041070330260691,0.0024065377672220496,309.108,0.099,0.2868027799716538,0.17065661243715255,0.0019487962246259758
6,2021-04-27 20:00:00.000,1.2576328266853622,0.5978974778619386,1.0754225840977363,0.0018830469615735794,309.37,0.088,0.2500006881402772,0.14900131895446272,0.001831309736010398
7,2021-04-27 20:10:00.000,1.3955751774842338,0.6927929142400564,1.1869579787234752,0.0018086950973490667,308.417,0.077,0.24437348425318545,0.1315172202441289,0.0015605453061463006
8,2021-04-27 20:20:00.000,2.1036071108501657,0.5519465343363118,2.028211653038361,0.0037119846903311744,324.723,0.101,0.06033493165988093,0.036961699062686613,0.00041101750247431857
9,2021-04-27 20:30:00.000,2.1188859317919833,0.7844405440237204,1.9648001969127784,0.0033492093960349276,318.021,0.091,0.09552217913268037,0.04469026987080158,0.0005213048746309161
10,2021-04-27 20:40:00.000,1.9035845364978128,0.5032285295256371,1.8191451676884705,0.0039836570453110395,324.148,0.127,0.14463613695520625,0.13308667737392266,0.0009698242228080755
11,2021-04-27 20:50:00.000,2.2793594983470475,0.25480022048263534,2.255696747840417,0.004466362247807845,333.151,0.115,0.11429517632572826,0.09694104986156528,0.0009175126776303457
12,2021-04-27 21:00:00.000,2.651184929840251,-0.15355250601852813,2.6396387869287725,0.004969626897174767,343.196,0.108,0.08851101184810523,0.06397708233448277,0.000571702785556729
13,2021-04-27 21:10:00.000,2.7050073617556634,-0.4320503252564995,2.6632768409487153,0.004993882715575806,346.798,0.106,0.13805206120757538,0.07379131377689772,0.0008189420227715265
14,2021-04-27 21:20:00.000,2.0017046691030185,-0.7085137691547433,1.8468642202274554,0.0040115697602927936,146.373,0.115,0.09140442772398394,0.1536062457559492,0.0006476955064363973
15,2021-04-27 21:30:00.000,1.7861782652124885,-1.2383671885123275,1.2247853079387487,0.0035404469124394157,25.935,0.111,0.15788155296228196,0.1982251662043524,0.0009190205213339387
16,2021-04-27 21:40:00.000,2.4291154410086424,-2.336625210858416,0.605355435675123,0.002538079091609735,55.73,0.059,0.13604560926127438,0.1063669786220029,0.00047243024770617835
17,2021-04-27 21:50:00.000,2.512087956068151,-2.2853195150080157,1.0325670679200867,0.003666994109660484,45.742,0.085,0.09708160548615412,0.09229563789771365,0.0003826039923525117
18,2021-04-27 22:00:00.000,1.8554832098524272,-1.7820454492114877,0.16029973305820716,0.0019791174486927412,67.283,0.057,0.30569728244140026,0.09486162623139294,0.0008162271702899026
19,2021-04-27 22:10:00.000,1.3583803330569686,-1.1870070861501694,-0.5689986238949054,-0.00034858368325631944,95.321,-0.016,0.2613660302617106,0.17795957775706567,0.002221762729977039
20,2021-04-27 22:20:00.000,1.188148521857345,-1.170590859040331,-0.04336995119267184,0.0010424909659907985,70.959,0.057,0.14656448722770318,0.30955637766871097,0.0010705553581898304
21,2021-04-27 22:30:00.000,1.2235530189963144,-1.1139941590291769,0.44912065524157835,0.0015667195076231773,49.059,0.076,0.25683519776524794,0.21396939510857588,0.002609605775728615
22,2021-04-27 22:40:00.000,1.5036119077132486,-1.433378709214742,0.3328589532343355,0.002353189712536814,56.794,0.091,0.17860978034036074,0.17383782378741433,0.0009579315119009999
23,2021-04-27 22:50:00.000,1.131112674466634,-1.1215882463104658,-0.028098413491421653,0.0012510417100561307,71.533,0.068,0.12682922033680602,0.1643353050110693,0.0011511944534781297
24,2021-04-27 23:00:00.000,0.9710077632702554,-0.9322712861956206,-0.1920586969417665,-0.0002602635287070071,81.899,-0.016,0.2040184229346541,0.13809863132241207,0.0013486856127978533
25,2021-04-27 23:10:00.000,1.0893939833818231,-1.054412115881884,-0.017095546732863606,0.00097754843213542,72.282,0.053,0.26575922587899986,0.184643337042947,0.0015225060218448923
26,2021-04-27 23:20:00.000,0.8325256167661997,-0.7427579027735268,-0.19057391961734554,0.0010188884116107313,83.117,0.07,0.4391691562923493,0.23749235970319538,0.0023414260996143005
27,2021-04-27 23:30:00.000,1.0532959103424375,-0.9652237690622542,0.1502213875319042,0.002824344030472637,64.262,0.159,0.44863418752362344,0.18877537408683676,0.0023162856005265998
28,2021-04-27 23:40:00.000,1.0722545494783693,-1.0296343962203611,0.18240946445117007,0.0008248104794803947,60.647,0.041,0.24145916073979418,0.15501142936434292,0.001738394107015842
29,2021-04-27 23:50:00.000,0.5844763426569372,-0.540147306245713,0.09074538001895223,0.0007265061509194058,64.142,0.077,0.39092015713568423,0.31806247580805586,0.0029068615188653788
30,2021-04-28 00:00:00.000,0.7975995916336032,-0.7586024779545018,-0.15847696164349362,1.446263513063887e-05,81.742,0.003,0.24131006146752954,0.3305941131892483,0.002077459222918221
31,2021-04-28 00:10:00.000,1.1043920547064787,-0.8709502886691807,-0.6365672456309606,-0.0006278025137988288,105.682,-0.033,0.22503503269378758,0.1809644297019692,0.0020080299721004814
32,2021-04-28 00:20:00.000,0.9928493918313244,-0.7010834110229723,-0.6472979233797582,-0.0008288388629762194,113.77,-0.047,0.2700974429340296,0.33258402064253995,0.003022267163475269
33,2021-04-28 00:30:00.000,0.9451275262633787,-0.6752354982352637,-0.6283414611986552,-0.0002090666932586252,112.81,-0.024,0.24828773973213408,0.32921953045114344,0.002929628363280354
34,2021-04-28 00:40:00.000,0.731522204998923,-0.44328612152785185,-0.5435378956107945,-0.00028185010586344474,120.827,-0.024,0.3242051276090759,0.3190605033574682,0.004227870087633952
35,2021-04-28 00:50:00.000,0.7918514690445977,-0.5038241613686577,-0.5777414459429804,-0.0005254395252816107,122.056,-0.037,0.22973976203751298,0.45615695691171915,0.0028881988274932612
36,2021-04-28 01:00:00.000,1.1148722333266252,-1.0020304282690031,-0.4043489892898786,-3.437008149402039e-05,93.702,-0.0,0.24449912558389295,0.24622270550471928,0.00180281797563009
37,2021-04-28 01:10:00.000,1.054469651765446,-1.0333544387024711,-0.05575411780830984,0.0009236260704986369,71.875,0.052,0.18568053475207383,0.31169264470347885,0.0015015688568835203
38,2021-04-28 01:20:00.000,0.9711953057450089,-0.7255742792880323,0.6185610314807002,0.001758943061731166,29.919,0.098,0.18466468353502863,0.1775292226947838,0.0014794029636482472
39,2021-04-28 01:30:00.000,1.558062363971082,-1.3663554887170786,0.7307667003846171,0.0031546898729133753,41.419,0.113,0.12262745658495125,0.1624315126394748,0.0008805778093281676
40,2021-04-28 01:40:00.000,1.3641853816069536,-1.2556473436527051,0.4356057204520008,0.0020549236771506183,53.909,0.075,0.31127173973200145,0.1227569817145331,0.0016043988456916761
41,2021-04-28 01:50:00.000,1.3733947874978865,-1.2468624750768256,-0.49486357831099514,0.0001077533362997499,90.396,0.001,0.24645408713243852,0.27541965791652934,0.0025955130618612403
42,2021-04-28 02:00:00.000,1.1824314970855583,-0.8817645795854979,-0.6984717310540214,0.0023873088664860503,105.492,0.11,0.33180358714753233,0.26179001968786386,0.003300541419398434
43,2021-04-28 02:10:00.000,1.5392025346684466,-1.4270347259793499,0.550208780948035,0.0027623529921188585,48.126,0.1,0.152464054174746,0.22835110107549741,0.0010442127637251355
44,2021-04-28 02:20:00.000,1.5572008900505356,-1.5207494927564358,0.3108861234413498,0.0018893118556727474,58.69,0.067,0.11274134736172406,0.09333398025599805,0.0009502480938504814
45,2021-04-28 02:30:00.000,1.2047986953217966,-1.191837966273299,-0.104697780872502,0.0007320234422295009,74.918,0.039,0.11182124164631065,0.10601575073464797,0.0009443129189874383
46,2021-04-28 02:40:00.000,1.5650740982074223,-1.4002669361196285,0.6707016273932082,0.002369670684194083,45.209,0.085,0.17011440150054083,0.04159369636346029,0.0005542494021398939
47,2021-04-28 02:50:00.000,1.7715780651012893,-1.5572467154545213,0.8429681361131,0.0031981138084019624,41.591,0.103,0.03667131273440292,0.02603247584382171,0.0002701160580009617
48,2021-04-28 03:00:00.000,2.1298725648355386,-1.5949167798233836,1.3930358727675858,0.004208853851761496,29.246,0.112,0.20427973777746217,0.12290431683989317,0.0005748086015745795
49,2021-04-28 03:10:00.000,3.8660022003155046,-3.319149500589416,1.9675259980412225,0.007159285750749265,39.11,0.106,0.05214155600561337,0.09589080199308364,0.00030461143512903766
50,2021-04-28 03:20:00.000,2.957197905494748,-2.612019410621783,1.3820265347133525,0.004895678358130261,42.234,0.094,0.0981906977153339,0.06780332968315644,0.0004223903793398024
51,2021-04-28 03:30:00.000,2.0464945963732117,-1.91621088363497,0.7017260846102433,0.0022151207424344027,50.003,0.061,0.08965736151627256,0.06834507244815172,0.0006182183739767982
52,2021-04-28 03:40:00.000,1.1941006631070124,-1.1249731209842173,0.16747851105934042,0.0012319263545883213,68.353,0.039,0.45825858056554375,0.2871108369929315,0.0018470701882907742
53,2021-04-28 03:50:00.000,1.033800692936427,-0.8476042947495652,-0.5254735202150743,-0.00048457781344324975,101.833,-0.031,0.28067618583317533,0.24729321509088914,0.002806380864861411
54,2021-04-28 04:00:00.000,0.805096754512079,-0.6127992082815731,-0.4892303237353553,-0.0002785443214385214,108.23,-0.027,0.2575243554804014,0.3024001787552843,0.0029633322686621636
55,2021-04-28 04:10:00.000,1.3889236348369043,-0.964766641264246,-0.6802189608131397,0.006786993651073618,101.073,0.264,0.643062584940984,0.25355967146070546,0.004694753009817457
56,2021-04-28 04:20:00.000,0.6386484498948296,-0.5480397051857536,-0.22149161460051248,-0.00031767530565281166,89.581,-0.04,0.46237374616866955,0.38718927190361146,0.005556226366847128
57,2021-04-28 04:30:00.000,0.5992351234879877,-0.4155185497507126,0.3510789481481925,0.00048816413684413614,79.269,0.011,0.6705419789973812,0.4093414203016765,0.0018908718953205188
58,2021-04-28 04:40:00.000,0.811524600728265,-0.7610348985111981,0.2228546196777575,0.0013322247479761284,54.386,0.096,0.21728204152609473,0.16596311618107074,0.0019938156119892123
59,2021-04-28 04:50:00.000,0.6198537006531122,-0.531635019891341,0.03648513914310747,0.00040764958509097,71.33,0.023,0.6309165555082584,0.38538419736612867,0.00458953145029645
60,2021-04-28 05:00:00.000,1.4464725064855624,-1.305487002014054,0.6104750007342575,0.0024309709371918933,45.536,0.095,0.16271657401447556,0.08176460244898533,0.0007191168047945643
61,2021-04-28 05:10:00.000,0.8028513308014081,-0.619077065761988,-0.24454706056251332,0.0006804088280719643,105.433,0.018,0.6407749063887127,0.5021210100046981,0.0033828042793129717
62,2021-04-28 05:20:00.000,0.5925492677863561,-0.3822977409514728,-0.24227266367372627,0.00020391815315026632,119.403,-0.006,0.7234678812554379,0.7374086556427377,0.00485183562210975
63,2021-04-28 05:30:00.000,0.558791648709599,-0.4049388185526941,-0.3197423459539384,0.00021054219997668861,107.396,0.004,0.48740132825647015,0.5755879924061651,0.005305161828407451
64,2021-04-28 05:40:00.000,1.0516081711664444,-0.9086537558818075,-0.4872203375454816,-0.0006572523719937988,97.409,-0.044,0.22496307627669435,0.27797992980900216,0.002318840441247133
65,2021-04-28 05:50:00.000,1.2174814964768288,-1.0317610160483786,-0.5701650854624618,0.0005104126370503914,97.59,0.017,0.28226819474599585,0.27018478643737714,0.0029226755652540888
66,2021-04-28 06:00:00.000,1.3935079269131425,-1.1608651497790037,-0.710029374011638,-0.0001836922339962719,99.552,-0.013,0.25770389257625215,0.3122643651548478,0.0025343403672582463
67,2021-04-28 06:10:00.000,1.8220295580136885,-1.5080804423293492,-0.9255824650799663,-0.0007699366198606029,99.87,-0.021,0.27115755649269935,0.30432876645251195,0.00297465557670297
68,2021-04-28 06:20:00.000,2.385129262335308,-1.9017536671442756,-1.390524011577926,-0.0005440265380298963,105.923,-0.013,0.16360500851678544,0.14863057497780044,0.001785741101197082
69,2021-04-28 06:30:00.000,2.1413219253932385,-2.0450402654663904,-0.48325044970613906,0.0008000702050161573,82.428,0.025,0.18650195883350248,0.16459613310966545,0.0010063716866122157
70,2021-04-28 06:40:00.000,1.686080916434936,-1.6019307954487754,-0.46711654626923227,0.0005640366894319539,85.988,0.021,0.14637386355284976,0.14155615622397305,0.0016293312911809738
71,2021-04-28 06:50:00.000,0.7546576222446465,-0.7081518101957546,-0.055147199653467364,0.0015776777043884844,73.386,0.119,0.3407220615972056,0.40716255892885617,0.00503040481513776
72,2021-04-28 07:00:00.000,0.7632742572028685,-0.6766861901985538,-0.081294444236252,0.0014694365921120703,73.782,0.113,0.4816661970683463,0.4307004781329598,0.004716333869576462
73,2021-04-28 07:10:00.000,0.9070336291386353,-0.7331676139457943,0.49650712130916147,0.0018725641345460876,37.177,0.117,0.34200817597171834,0.19852242992458072,0.0023217315385393876
74,2021-04-28 07:20:00.000,1.1523222921809337,-0.8157753816178991,0.7908203901209911,0.002438836231629417,27.016,0.123,0.20854775563284955,0.15213354843556842,0.0014564241072207434
75,2021-04-28 07:30:00.000,2.2841162615109094,-1.458156791901861,1.7436443981576968,0.00536333438524081,19.734,0.133,0.2139636953841035,0.13443131664111424,0.0010210606450640832
76,2021-04-28 07:40:00.000,3.053439736878929,-1.9163844930820797,2.36440350085372,0.007212177270548503,19.011,0.135,0.06511215923213363,0.07996365284537105,0.0005935310022958491
77,2021-04-28 07:50:00.000,3.1896480943856815,-2.172351048639991,2.299911453391792,0.00701936373595797,23.709,0.126,0.10838872366643854,0.10133814864243207,0.00044120945422335383
78,2021-04-28 08:00:00.000,2.822905943610483,-2.227372030073909,1.7176358682075843,0.005680900100708012,32.521,0.115,0.09048869743897571,0.06381407034643423,0.0005970866182008919
79,2021-04-28 08:10:00.000,2.885803987560711,-1.9688183572243383,2.1015264980058324,0.006611255634406815,23.171,0.131,0.06966716261166794,0.060888649899857476,0.0005795812116446034
80,2021-04-28 08:20:00.000,2.4041597994716777,-1.7469509909928544,1.640848120576135,0.004582755724443253,26.95,0.108,0.1055539871785008,0.07068812729051513,0.0008099977520659367
81,2021-04-28 08:30:00.000,2.6839217044082577,-1.8600686918086755,1.9203288096650397,0.006551215832896131,24.352,0.138,0.12690129668136632,0.07245045741216065,0.0008835520149808365
82,2021-04-28 08:40:00.000,2.380576292309764,-1.8171579576525259,1.5247802753522837,0.005220886380774097,30.246,0.123,0.13086866330526883,0.07180267840737369,0.0009016732468321265
83,2021-04-28 08:50:00.000,2.6289473438200237,-1.7301972972671351,1.9531054497134785,0.006311280105249478,22.153,0.137,0.1711213568543756,0.09674263571139416,0.0010537680927655269
84,2021-04-28 09:00:00.000,3.2343784354186176,-2.065701042705198,2.4710178342496194,0.007738261919811314,20.004,0.136,0.09732602151552475,0.08493640942496794,0.0007411327363075784
85,2021-04-28 09:10:00.000,3.729772384997005,-2.666432229399015,2.5658719676815194,0.009293661846098157,26.37,0.141,0.127927610777715,0.1038396297168265,0.0009504446460936642
86,2021-04-28 09:20:00.000,2.6174517545763267,-2.2124665440434423,0.8585758193622294,0.0044100565756961104,54.423,0.079,0.5226094415588729,0.2804547144545575,0.002964903964185375
87,2021-04-28 09:30:00.000,3.3512606670197913,-2.4977357020278417,2.1407486071016755,0.00845396901162727,30.137,0.147,0.21033275898300055,0.13182345076095633,0.0012973375919402203
88,2021-04-28 09:40:00.000,3.3195323168047146,-2.2596065807151526,2.1956813249426177,0.011161563220861705,35.139,0.205,0.38421175095133164,0.18472279098925407,0.002287395351763352
89,2021-04-28 09:50:00.000,3.3793422065434546,-2.231510765273004,2.473169963256159,0.008266475578030931,24.004,0.146,0.23938119731105928,0.12429644804117405,0.0014420645500869266
90,2021-04-28 10:00:00.000,3.835800406392188,-2.20604601935921,3.12776043986073,0.007428052716082994,15.277,0.111,0.08212133732647055,0.06987323655499326,0.0007331676896761836
91,2021-04-28 10:10:00.000,3.35672628322515,-1.8929961814945588,2.7485295509404115,0.006835304320195953,21.221,0.116,0.09240813472715709,0.12096796441589193,0.0006755733399864323
92,2021-04-28 10:20:00.000,3.412669269984022,-2.5297938862660345,2.178760583504315,0.007243220318906955,31.078,0.13,0.21456004837456344,0.17116154730469513,0.0012469557481419621
93,2021-04-28 10:30:00.000,2.272375691630928,-0.9521711058845078,0.8757032736971249,0.002687072365713119,114.919,0.078,1.5819968298423726,0.6405119050761254,0.005895878106896772
94,2021-04-28 10:40:00.000,1.088221049072363,-0.09674488764187382,0.8831185587122073,0.0022651846867835983,222.496,0.114,0.9804519752387286,0.48399230225062556,0.006616562226793794
95,2021-04-28 10:50:00.000,1.187910271972894,-0.28060881855966935,-0.5016752839697188,0.00038594615530575244,133.779,0.047,1.5241680187411573,1.5285486123263796,0.011741416887773725
96,2021-04-28 11:00:00.000,2.447711716021274,-1.3146915917691813,-1.8999914065561776,5.752961112350302e-05,124.724,0.011,0.39031744978193095,0.42464981941845464,0.0028426899026573753
97,2021-04-28 11:10:00.000,2.412909095171568,-1.7613513429509364,-1.549474990989558,-8.180734886821828e-06,110.691,-0.001,0.2650953901130502,0.3185173041586285,0.002777570040623975
98,2021-04-28 11:20:00.000,2.1634549682803565,-1.321455058869676,-1.464185629195332,-0.0006139535567450546,119.937,-0.013,0.41573628513998284,0.5056435870462747,0.0036311472441785445
99,2021-04-28 11:30:00.000,3.7039616841311096,-1.3979092213612536,-3.3030312945492994,-0.0006145273152356168,135.738,-0.015,0.2915273848725547,0.22018912628125298,0.0022863957511172297
100,2021-04-28 11:40:00.000,2.7727959863889025,-0.7514585526023958,-2.556180605449971,0.0003947956242838018,141.967,0.017,0.3572107198544981,0.2533722642717819,0.0028072575948794765
101,2021-04-28 11:50:00.000,2.3800579299632862,-0.6204917928669925,-1.9967220858000503,-0.00045142368714823827,151.102,-0.012,0.33451999276621636,0.6415244173912208,0.003683386784061243
102,2021-04-28 12:00:00.000,3.3065031571854155,-0.2002734570819215,-3.078800787169059,-2.63287539556162e-05,156.118,0.023,0.4706743310299028,0.36192961512899396,0.0035755169667749057
103,2021-04-28 12:10:00.000,3.4879257117886464,-0.7953938028174286,-3.079560389671166,0.000667997325283306,140.207,0.017,0.5435006229815922,0.3191367268036883,0.002703500258407315
104,2021-04-28 12:20:00.000,4.6317942813519215,-0.23156417036187588,-4.552209385530411,0.0016393796953118106,156.709,0.025,0.2684443780424923,0.18399979518792486,0.0017792652465490207
105,2021-04-28 12:30:00.000,3.4690490765233273,-0.17648264880746614,-3.26706308894825,0.001356591118648478,154.1,0.043,0.4461045344211698,0.3131094866416284,0.0028051242917891675
106,2021-04-28 12:40:00.000,4.40966579413075,-0.7097381393305119,-4.1520814370314065,0.0006273427012399418,149.921,0.016,0.37769864899946953,0.24391157170293318,0.001954618205055867
107,2021-04-28 12:50:00.000,4.989814898027334,0.14524004352141634,-4.590341951420124,0.0008342992684345817,156.82,0.008,0.42895254355624995,0.33466309232577773,0.0021512034818537635
108,2021-04-28 13:00:00.000,5.2157370798976395,0.12333401490188804,-4.804828235420388,0.0014962160684640498,161.292,0.029,0.3376681881075511,0.3936061513170718,0.0024237309348678323
109,2021-04-28 13:10:00.000,4.319856456372947,-0.7783744727803817,-3.878510809239328,0.0006683321444636345,146.054,0.01,0.4633099336586157,0.3531360655875253,0.0024975432563854646
110,2021-04-28 13:20:00.000,3.616489211132186,-0.6197260471153843,-3.3099249357201965,-3.4694072506581594e-05,146.875,-0.004,0.5056807580564187,0.3667832887177267,0.002752288295138025
111,2021-04-28 13:30:00.000,5.1556383105452035,0.23525597291690092,-4.975742888833732,0.001913926306031489,163.546,0.037,0.34706968727235166,0.26658402476205467,0.002175217945952006
112,2021-04-28 13:40:00.000,4.250934814789223,0.036646931941213,-3.781550987703875,0.0005995098025236067,156.631,0.022,0.5281879814377557,0.4184163152035398,0.002897141903308821
113,2021-04-28 13:50:00.000,4.930517988692256,-0.9558843489345015,-4.477889657019396,0.0005231672297734951,147.179,0.01,0.3405163327775334,0.35210801860778584,0.001702209485652016
114,2021-04-28 14:00:00.000,3.5783796119759272,-1.5239557412732676,-3.01046866580292,-0.0006244868107664872,132.293,-0.012,0.35091911412802235,0.33218387949100553,0.003045096493725041
115,2021-04-28 14:10:00.000,4.499708815618074,-1.2158602844922282,-4.2092335241905845,0.0007713789942729795,143.606,0.016,0.2798659960270288,0.24073075704508268,0.0021805195848208607
116,2021-04-28 14:20:00.000,3.278856275479157,-0.42656683097188924,-2.9922588271778423,0.0006077855340054011,149.248,0.005,0.4563316274067373,0.34291230231772535,0.0028721963642228134
117,2021-04-28 14:30:00.000,3.6501484511897986,-0.8842732463155069,-3.287370268464716,0.0011848412816123407,148.744,0.044,0.4530188703519296,0.4107883517272781,0.0030903844538453006
118,2021-04-28 14:40:00.000,2.639118440793098,-0.6240949494674072,-2.236731644559168,0.00028888680918437367,143.878,0.016,0.4833442732924669,0.490173823361907,0.0036724920190034905
119,2021-04-28 14:50:00.000,4.543250550702914,-0.8764307447220375,-4.346056712122744,0.0007530722868624763,147.965,0.017,0.26889598436423656,0.20707449740783485,0.0020534883314100656
120,2021-04-28 15:00:00.000,3.3432722907802503,-0.4449964312907555,-3.17601466223045,0.0007914740265446126,150.55,0.015,0.38066986380007656,0.24564407351192594,0.0022366201142786715
121,2021-04-28 15:10:00.000,2.5959130791031813,1.1298748102414955,-2.0904913993432523,0.001033887332582854,184.423,0.03,0.4477029905504063,0.4350232086057474,0.002932977089090942
122,2021-04-28 15:20:00.000,2.022443090406976,-0.7278679909709326,-1.610836543570647,-0.00022202376864985184,137.225,0.0,0.5564463947726584,0.5609102043394808,0.00422869338503412
123,2021-04-28 15:30:00.000,2.519783485967228,0.6090177637868449,-2.242295199987714,0.000746303508089449,172.281,0.028,0.5065861343024379,0.40902515896866715,0.0033137191430712997
124,2021-04-28 15:40:00.000,3.6446840377166865,1.6247108558002652,-2.9995523466908534,0.0021470798652187435,187.16,0.054,0.3721276974262701,0.35427361425464676,0.002979996051198024
125,2021-04-28 15:50:00.000,3.9837138255188353,0.22862487186017416,-3.5720422706085913,0.0011166372024346341,161.546,0.034,0.47465354966392254,0.44874126980232193,0.0029613936197307685
126,2021-04-28 16:00:00.000,4.022197746788785,-1.0153424706396377,-3.8335483344227863,0.0007184953164423194,144.727,0.012,0.21414148684971474,0.1561268078476423,0.0018343295794070486
127,2021-04-28 16:10:00.000,3.609927306355865,-0.0170501811654402,-3.0288171137951285,0.00030035792361219466,159.299,0.005,0.32076726179332654,0.6215623533371638,0.0025629141560590133
128,2021-04-28 16:20:00.000,3.315993435227898,1.427735936335161,-2.848212213917189,0.0007401645177060285,186.389,0.022,0.32126717340213123,0.27784718893604676,0.002730166592240086
129,2021-04-28 16:30:00.000,4.434931767986206,1.6543601514408401,-3.969701399800911,0.0019486345922763752,181.737,0.03,0.25489516428906445,0.2468347546508707,0.0018244491707233395
130,2021-04-28 16:40:00.000,4.3445503570293775,0.6395196244653292,-4.03385108092821,0.0011934366543946244,166.929,0.032,0.377114696961916,0.3053247680884356,0.003061065992903144
131,2021-04-28 16:50:00.000,4.7416481943900495,1.7020427056751521,-4.230537047033843,0.000995921609613887,182.434,0.029,0.36186775268843,0.2585620692822063,0.0027715007458761856
132,2021-04-28 17:00:00.000,5.1612235179647685,2.4936364163684153,-4.3233426837981135,0.0011099214077019781,188.474,0.032,0.3591100131936561,0.2313580031570522,0.002779907395267039
133,2021-04-28 17:10:00.000,5.227157871464938,2.884766461473246,-4.227087674654049,0.0017414125549088362,193.987,0.03,0.25712230119059587,0.20606338909811098,0.002214247631892419
134,2021-04-28 17:20:00.000,4.78612283660837,1.644943360185997,-4.284762146712035,0.0013610293104999744,179.468,0.034,0.35514435176823833,0.25520578921105264,0.0028944349911897813
135,2021-04-28 17:30:00.000,5.23841962509308,1.5215386881465132,-4.894077431610532,0.0015996087107563153,176.214,0.026,0.2487064548979749,0.19170122901896444,0.002060238656917387
136,2021-04-28 17:40:00.000,3.6121940319078156,0.6157314078001997,-3.3315490696246246,0.001198912025502678,168.287,0.033,0.464090876160711,0.2904627264259465,0.0033640323118632287
137,2021-04-28 17:50:00.000,3.0889811339463935,1.2287746472009493,-2.675284352507678,-0.00043015260874886295,183.145,0.014,0.3323239005259745,0.2952022138752658,0.0037496639208969714
138,2021-04-28 18:00:00.000,3.261036907860613,1.502504431015708,-2.6680969763076647,0.0002943833030534757,187.595,0.035,0.4174350354712143,0.31970962010759524,0.0038588173985403197
139,2021-04-28 18:10:00.000,3.458692609399142,1.6591500099714447,-2.875188348561809,0.000730614185907758,189.745,0.032,0.30565528938569086,0.2759154549154247,0.0031639917031037286
140,2021-04-28 18:20:00.000,3.87650787636117,1.6667955477913416,-3.353218076003113,0.00019410468691993338,185.495,0.017,0.30463240384666856,0.2559209068801887,0.0028219508059540545
141,2021-04-28 18:30:00.000,3.23946529137846,1.2101114100622146,-2.80495133016639,0.0008578992790161954,182.607,0.04,0.34029551310725403,0.33078071492206174,0.003862578658484912
142,2021-04-28 18:40:00.000,3.270832211916157,1.340397733340333,-2.8122594410098714,0.001283661175303764,183.69,0.054,0.3605852540228522,0.2999273935799076,0.0037444039759210184
