class,采集时间,纵向变位平均值,纵向变位标准差,横向变位平均值,横向变位标准差
0,2021-05-04 00:00:00.000,-3.97302646467069,3.82438283227061,1.1599800067633015,3.4541795467958054
1,2021-05-04 00:10:00.000,0.7770980364341444,3.0909585669983426,1.6492641597069695,2.9128647227493505
2,2021-05-04 00:20:00.000,3.0746904917135343,4.467872961520602,3.4273652965037456,2.553951207684718
3,2021-05-04 00:30:00.000,0.013801747738256835,2.2798766060216797,-3.696263812976566,3.175842083253366
4,2021-05-04 00:40:00.000,2.3096938612447686,5.135037493333542,-10.692989983897276,2.7636638100013675
5,2021-05-04 00:50:00.000,2.121304390391159,3.1366353361654578,-8.550961368426668,2.8413890003373816
6,2021-05-04 01:00:00.000,6.711693126747763,2.63016217219702,-5.014028116807228,2.3910523162880915
7,2021-05-04 01:10:00.000,11.526784180279485,4.51046463338458,0.5756069633414704,4.924327394700505
8,2021-05-04 01:20:00.000,14.411676676326154,4.357964228856844,4.315354151540354,4.669184421280087
9,2021-05-04 01:30:00.000,10.015814805891079,3.020745085126455,4.2305659168327425,2.443186668906183
10,2021-05-04 01:40:00.000,7.900200901485702,2.5033118902033684,2.9048848530545017,4.462374852604276
11,2021-05-04 01:50:00.000,13.093955985674402,1.9776619914934643,2.622595980663575,1.6526288275576722
12,2021-05-04 02:00:00.000,11.277806690150497,4.5369602495044425,1.5398782796267956,2.2480775986184725
13,2021-05-04 02:10:00.000,12.987623665288634,1.9503364022602998,-2.586248763442998,2.312466430939504
14,2021-05-04 02:20:00.000,9.94078826278283,3.0280817367733377,-0.7844768042986585,1.8567934828081707
15,2021-05-04 02:30:00.000,7.840808999208945,3.8781409816218884,2.2026310643786426,1.7976977572897868
16,2021-05-04 02:40:00.000,3.9964827585751435,2.055786105642613,1.669745127396076,1.680181953137651
17,2021-05-04 02:50:00.000,5.133037038197095,3.4260903495855013,-1.0701048686299437,2.6477482576136566
18,2021-05-04 03:00:00.000,7.798892741225902,3.779039400675503,-0.4069723053077466,2.0189248516932596
19,2021-05-04 03:10:00.000,6.24152104463573,3.127861451797257,-4.59608799983653,2.3332093208117883
20,2021-05-04 03:20:00.000,3.2705905663230523,3.1190871112604377,-4.031846391461235,2.3549393673715624
21,2021-05-04 03:30:00.000,6.714312535009163,2.355615949329795,-4.589369727139561,2.340327742733879
22,2021-05-04 03:40:00.000,15.986223818967936,5.137436975287501,-1.0110440906359963,3.4289743117103924
23,2021-05-04 03:50:00.000,18.071451770124813,4.251449057396273,-5.60082607733262,1.8896190085155173
24,2021-05-04 04:00:00.000,8.687528308843603,5.008113741803878,-7.326545850721513,1.765542622045214
25,2021-05-04 04:10:00.000,15.538182346457639,2.31002833074784,-2.160406112172045,3.878957018370937
26,2021-05-04 04:20:00.000,9.75811259067105,2.8185397388631914,-6.009023423423631,2.0720578783036214
27,2021-05-04 04:30:00.000,21.33050712177289,3.2883559257770054,3.3075141429307062,3.8224614782601893
28,2021-05-04 04:40:00.000,23.073596011343113,4.176476822697839,8.214065388222407,2.7065805096096596
29,2021-05-04 04:50:00.000,21.543503082213828,1.8857918757187027,5.3408524907079356,2.1826157428180957
30,2021-05-04 05:00:00.000,18.58141538322231,3.042508053734929,3.540375495573802,1.8467716896189517
31,2021-05-04 05:10:00.000,20.439850552501888,2.462685192734391,2.4232079492395076,2.4374878597070646
32,2021-05-04 05:20:00.000,20.13984007373885,3.028814883120303,0.9546340478246973,2.3078637750456497
33,2021-05-04 05:30:00.000,18.214274130677243,2.813466747223114,2.891302244477389,1.712642157885511
34,2021-05-04 05:40:00.000,16.8118908630883,2.0654624466732145,0.6500115453180028,3.0838315408150048
35,2021-05-04 05:50:00.000,20.904716622854654,5.158121996302329,-2.526133622304922,2.1463600041838604
36,2021-05-04 06:00:00.000,25.80584032057901,1.7890306794854471,-1.8755069326938654,2.4448152771235496
37,2021-05-04 06:10:00.000,20.812440454129757,4.34093688602068,-0.0066692893059635844,1.747085217997068
38,2021-05-04 06:20:00.000,15.427678347409472,2.60374964456252,0.219961042037561,2.9847795299955506
39,2021-05-04 06:30:00.000,14.503172089249478,3.8365234340182055,2.786782742676438,2.4970614829319495
40,2021-05-04 06:40:00.000,20.89174514572196,2.7962211475567695,5.895010642963819,1.6301111709285465
41,2021-05-04 06:50:00.000,26.722788002497786,2.0532806107292325,4.256879351584876,2.5992814783116827
42,2021-05-04 07:00:00.000,27.576021109894427,6.445142293976974,7.240423724387299,1.9134771350613864
43,2021-05-04 07:10:00.000,31.00594887163822,4.71062871166106,7.072569771072017,1.8395314812477783
44,2021-05-04 07:20:00.000,23.35292722706462,3.52570713670434,8.734891587451761,3.2136936361178616
45,2021-05-04 07:30:00.000,19.32325852090394,2.3829273261699466,2.7045197478769953,2.469745634071149
46,2021-05-04 07:40:00.000,16.31129895118087,2.4100642610780483,1.673268459614424,2.260061000975722
47,2021-05-04 07:50:00.000,21.672875359726305,1.8553905083310687,2.5561435634821263,2.786731788702717
48,2021-05-04 08:00:00.000,25.519304280883528,1.6873396719252047,7.7015423639634095,2.776412287845281
49,2021-05-04 08:10:00.000,23.96142052354804,3.1707719380810055,4.468773058337235,2.462654393364929
50,2021-05-04 08:20:00.000,32.059983942873814,2.5038732467678315,6.635633895520739,2.598756558116981
51,2021-05-04 08:30:00.000,32.14926150911764,2.103730774280501,8.160177829343308,1.569977777020451
52,2021-05-04 08:40:00.000,29.261198609429755,1.9479771455745785,3.86625077084969,2.9765658069036482
53,2021-05-04 08:50:00.000,26.649048588718703,1.9251545859807682,3.119792413508625,1.4030315198636276
54,2021-05-04 09:00:00.000,27.384209264549185,1.6887099343254377,1.8248485228003286,3.021261813049753
55,2021-05-04 09:10:00.000,28.252980436433926,1.6680552285179602,6.057201603090706,2.7215155917760305
56,2021-05-04 09:20:00.000,30.41811046699085,4.637256343910001,5.439103694703653,2.294888620887429
57,2021-05-04 09:30:00.000,28.805237610828527,2.9359771134830317,3.8179742955428515,1.9596034265173208
58,2021-05-04 09:40:00.000,30.21645209256366,4.056936940547654,3.6990918346553427,1.606698287825483
59,2021-05-04 09:50:00.000,24.610360940732942,3.7466191743364785,0.8650828212874476,2.0794211621547087
60,2021-05-04 10:00:00.000,16.596367715852296,4.49840347637501,-1.8918033335588238,1.5805013545352977
61,2021-05-04 10:10:00.000,23.456287152977072,2.5575364906547122,-4.496723953396113,1.5371803072697379
62,2021-05-04 10:20:00.000,30.68555168098966,3.0900024208418984,0.3718534967037534,1.6618981740547347
63,2021-05-04 10:30:00.000,37.252428260716265,4.603650398227176,1.7328957956092237,2.499572776599739
64,2021-05-04 10:40:00.000,39.53218300175796,2.560321074350881,5.86027598637625,2.4166695286169606
65,2021-05-04 10:50:00.000,36.14407773984628,2.6450236863097865,5.851946619766198,2.7647753026039945
66,2021-05-04 11:00:00.000,30.31212359682888,2.1620874554138934,4.903155373877578,2.421554727484267
67,2021-05-04 11:10:00.000,35.13158706896082,2.8335475389275513,2.2383216860064183,2.2396638892762666
68,2021-05-04 11:20:00.000,33.82854502658667,3.5439935823289725,-0.9435546394307878,2.212280599956652
69,2021-05-04 11:30:00.000,26.733466771226507,2.892484788199386,-0.4103621860549556,2.7540400030023675
70,2021-05-04 11:40:00.000,22.06015835276471,4.12066833758418,0.560903611535789,2.1743137086563267
71,2021-05-04 11:50:00.000,17.191836842631997,4.419174118050138,1.2719786570170097,1.6220530982859003
72,2021-05-04 12:00:00.000,22.058800961212988,2.6779069508666007,1.6936994008580537,1.5827567350720502
73,2021-05-04 12:10:00.000,25.21570724721133,3.045619939535289,-0.28841543710467826,2.150398787204349
74,2021-05-04 12:20:00.000,26.159732697982243,2.235511841730851,4.969864580656662,1.382059708546567
75,2021-05-04 12:30:00.000,23.546122550382613,2.3744639872717026,2.1794308141257055,2.40198919911809
76,2021-05-04 12:40:00.000,18.190870577569697,3.2641475180352026,-1.2050374599533695,2.092396446617086
77,2021-05-04 12:50:00.000,25.07880005079038,2.745517455256786,1.457367152735812,1.4029756551163188
78,2021-05-04 13:00:00.000,29.38479978661353,2.181552617230461,6.056477020068849,2.1633046687845523
79,2021-05-04 13:10:00.000,29.329361782734836,3.1831443019331447,10.113032568128995,2.163850332477839
80,2021-05-04 13:20:00.000,26.141083421996502,2.4730244685678917,3.7449430073648666,2.8369144402639876
81,2021-05-04 13:30:00.000,23.938661795987407,2.255747333453676,1.098688765967631,2.857656895710045
82,2021-05-04 13:40:00.000,22.418380782200455,2.158491651922489,-0.397228041118274,2.524933015528478
83,2021-05-04 13:50:00.000,23.653945935062104,2.836788892342319,-2.3298213931297824,2.9586710393598317
84,2021-05-04 14:00:00.000,30.45867311989305,1.6618719942992042,0.17462858041894436,1.8543897054506362
85,2021-05-04 14:10:00.000,31.630163979671355,1.6596832262400223,2.970287609545928,2.120667632662924
86,2021-05-04 14:20:00.000,32.00015601953403,2.3246206416858683,6.5834310773965585,1.9787972256247153
87,2021-05-04 14:30:00.000,28.258295633421604,2.7451219602653443,4.786714438563527,2.8921956193112783
88,2021-05-04 14:40:00.000,26.241011749835316,1.9082101006650025,3.321630893703711,2.089202415053361
89,2021-05-04 14:50:00.000,26.78902911494556,3.402453454111574,6.392632240622097,3.1674151699885256
90,2021-05-04 15:00:00.000,30.179690897397027,4.600282167297946,8.716192638717098,1.7020660678109396
91,2021-05-04 15:10:00.000,30.58519842350134,3.9276493486367183,3.5386702791229627,2.7153772992228276
92,2021-05-04 15:20:00.000,22.901534323370576,3.198751823389121,-0.5145614373253816,1.751173020928923
93,2021-05-04 15:30:00.000,22.179540060300262,1.6159018060817678,-0.11288528696891834,3.322811353992837
94,2021-05-04 15:40:00.000,23.242478477327058,3.539335511867329,-0.06341597266116776,2.5541155280044774
95,2021-05-04 15:50:00.000,25.256508419858996,2.7147818506598727,-0.6519440373989749,3.0511304201933873
96,2021-05-04 16:00:00.000,27.89645734601506,3.3070038660978067,3.758763606539208,2.358144338707791
97,2021-05-04 16:10:00.000,29.577782668219207,4.019632032133338,1.1952522045696339,3.7235571139987633
98,2021-05-04 16:20:00.000,37.25184159809833,2.970293591530196,3.1364537668904426,4.5266732121578475
99,2021-05-04 16:30:00.000,35.95935924028391,2.3750780694302827,3.774753469116443,3.511001657029354
100,2021-05-04 16:40:00.000,35.84270529559112,3.6133029510514136,1.1757965557677417,3.739893438892954
101,2021-05-04 16:50:00.000,41.669883919875254,2.5674943914710355,2.210268128194123,2.217286727727413
102,2021-05-04 17:00:00.000,40.55007314093381,2.447783108611057,0.29444475483325455,2.693344976028104
103,2021-05-04 17:10:00.000,35.64947186241188,4.618747732357416,-1.6781416794427317,2.2652044884104074
104,2021-05-04 17:20:00.000,25.809287540945622,4.432857373147449,-4.780472171156374,3.138343510257119
105,2021-05-04 17:30:00.000,24.15406891290118,13.823882690250958,-3.4083295891652887,4.315681326059526
106,2021-05-04 17:40:00.000,34.2316206846422,4.005661322749699,3.62087078284281,2.505230336281815
107,2021-05-04 17:50:00.000,29.716095269750067,2.0068128871297133,2.7470456828881855,2.108602434107021
108,2021-05-04 18:00:00.000,17.029335533156637,2.9163305303650167,3.357118130422165,1.9002750342770989
109,2021-05-04 18:10:00.000,19.23333038369435,11.520958508216433,2.8771263770875493,9.314215455224124
110,2021-05-04 18:20:00.000,24.342922728240286,6.507689542598904,8.712377368457975,3.5500756127953936
111,2021-05-04 18:30:00.000,33.88389199817176,8.285691075130586,9.864723611631103,4.572261425061944
112,2021-05-04 18:40:00.000,20.893826885798624,6.796756773562662,10.401838801977128,1.8493386201744937
113,2021-05-04 18:50:00.000,37.64144621976577,5.01052076994109,10.242803567733514,2.07020978727429
114,2021-05-04 19:00:00.000,44.387815884921956,6.798389467605282,7.719378037754181,6.91479104757245
115,2021-05-04 19:10:00.000,23.390360933071605,13.120545194681043,0.07341145227784122,6.03950011977712
116,2021-05-04 19:20:00.000,18.624591151617295,10.57824901604419,0.47117003985014916,3.4134921848142445
117,2021-05-04 19:30:00.000,25.509815826059985,8.96608366595871,-7.710709056665495,9.892584876601834
118,2021-05-04 19:40:00.000,25.53415256326771,16.919669892114594,7.676569124113261,6.641371492588286
119,2021-05-04 19:50:00.000,39.60868746435476,13.456626165382543,2.8648016770640226,8.766367590214065
120,2021-05-04 20:00:00.000,34.90827443703565,20.289218641900828,0.9069147688630079,6.340087740948294
121,2021-05-04 20:10:00.000,37.37828799092904,13.424433329381376,12.563488639576285,15.236693684101338
122,2021-05-04 20:20:00.000,47.20247465095302,27.1084148218421,13.346475167720753,24.77611278230002
123,2021-05-04 20:30:00.000,25.28712756594897,19.864475218581934,5.788460453920031,46.628176092186614
124,2021-05-04 20:40:00.000,37.98056753598095,15.302932085743391,9.6784088777856,13.899811801988667
125,2021-05-04 20:50:00.000,20.855564189253155,8.15116569686046,10.629292399855679,15.074420029703223
126,2021-05-04 21:00:00.000,23.44501685679898,11.420618458213776,10.894554379370744,7.691420980218237
127,2021-05-04 21:10:00.000,28.197572032459554,8.554733674036598,6.241194662734336,7.316148304097386
128,2021-05-04 21:20:00.000,24.946371245284965,14.767372223186364,3.1196452449575807,16.169687915982884
129,2021-05-04 21:30:01.000,42.3904040310314,10.738346684199094,2.071338234169917,14.200357206925522
130,2021-05-04 21:40:00.000,47.747895515521535,31.430543537427045,1.4979471314953843,18.031185854495824
131,2021-05-04 21:50:00.000,37.38827332249974,20.091815455630798,-1.0431114327643338,8.298319081882479
132,2021-05-04 22:00:00.000,28.69758074215584,8.028312223722756,6.8249380176244685,7.712675418628446
133,2021-05-04 22:10:00.000,25.558402024658054,6.707687496063672,2.0423978318049727,6.28304698769127
134,2021-05-04 22:20:01.000,30.094528741666792,5.8003040911875985,7.122958516943209,6.402645677211757
135,2021-05-04 22:30:00.000,38.10970721024138,6.716708094744471,2.749536645776781,5.766874695503579
136,2021-05-04 22:40:00.000,36.57588949746144,8.493237043579153,4.963578484588461,6.1503195203706325
137,2021-05-04 22:50:00.000,35.44806881716315,4.298662125709469,2.0666771878988652,6.693868463388688
138,2021-05-04 23:00:00.000,41.39244928946474,5.699751910548672,7.63260923711193,11.315153567014724
139,2021-05-04 23:10:00.000,39.274749739612425,6.229822170208807,13.223449648020187,11.844594351159923
140,2021-05-04 23:20:00.000,38.54269343899474,6.297926478408251,18.427610122192817,17.954661476903112
141,2021-05-04 23:30:00.000,45.94918825497453,5.057495520675662,1.1856148939268545,10.42622194779152
142,2021-05-04 23:40:00.000,33.55937608227251,6.444075765926187,-2.315781100474409,6.112563105724623
143,2021-05-04 23:50:00.000,42.25091837801305,8.739019918854805,18.77093109702673,9.375170783667063
